sampleID,Kartez,family,genus_new,species_new,genus_old,species_old,Native,PhotoPath,LifeHistory,FunctionalGroup,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,sla,ldmc,lf_petiole_ind,lf_iso_mass,lf_iso_d15N,lf_iso_d13C,lf_iso_pN,lf_iso_pC,lf_iso_CN,stem_wet_mass,stem_length,stem_diam_1,stem_diam_2,root_wet_mass,root_length,root_diam_1,root_diam_2,stem_dry_mass_1,stem_dry_mass_2,sdmc,sdens,root_dry_mass_1,root_dry_mass_2,rdmc,rdens,fine_root_length_sum,fine_root_p95_diam,fine_root_volume_sum,fine_root_wet_mass,fine_root_dry_mass,fr_dmc,srl,fr_dens,seed_mass_sum,seed_n,seed_mass
57,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,4.145153,5,TRUE,0.0428,0.0082,505.5064634,0.191588785,FALSE,NA,NA,NA,NA,NA,NA,0.005,22.8,0.2,0.2,NA,NA,NA,NA,0.0013,0.0017,0.34,0.002373365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.375,3,0.458333333
64,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,5.89289144,5,TRUE,0.0585,0.0121,487.0158215,0.206837607,FALSE,3.109,-3.0780125,-28.434625,1.923367764,46.95574868,24.41329711,0.0083,26.8,0.5,0.3,NA,NA,NA,NA,0.0025,0.0022,0.265060241,6.39917e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.797,2,0.3985
73,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,2.89934904,4,TRUE,0.023,0.0051,568.4998118,0.22173913,FALSE,NA,NA,NA,NA,NA,NA,0.0072,31,0.3,0.3,0.0032,24.4,0.1,0.2,0.0013,0.0013,0.180555556,5.93266e-4,1e-4,5e-4,0.15625,0.001118186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,6.85676048,5,TRUE,0.0801,0.0164,418.0951512,0.20474407,FALSE,2.96,-1.5666125,-28.738625,1.540926277,44.58558598,28.93427586,0.0282,36,0.5,0.3,0.0125,23,0.5,0.4,0.0054,0.0055,0.195035461,0.001190956,0.0033,0.0034,0.272,9.25663e-4,NA,NA,NA,NA,NA,NA,NA,NA,0.641,2,0.3205
76,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,6.35676148,5,TRUE,0.0711,0.0124,512.6420548,0.17440225,FALSE,3.002,-2.3503125,-29.009625,1.6721821,44.884859,26.84208795,0.0193,39,0.3,0.3,0.0061,16.3,0.4,0.3,0.0042,0.0045,0.233160622,0.00163236,0.0012,0.0015,0.245901639,9.50022e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.336,6,0.389333333
679,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.42484185,0.022640244,0.005554224,6.72,0.395,0.058779762,0.029423065,71.11704086,NA,NA,NA
680,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04303592,0.026092008,0.008440928,7.95,0.272,0.034213836,0.013570798,32.22394669,NA,NA,NA
681,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.516739823,0.03384511,0.003811836,6.37,0.334,0.052433281,0.060543004,87.62181302,NA,NA,NA
749,ACNE,Euphorbiaceae,Acalypha,neomexicana,Acalypha,neomexicana,y,C3,a,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.703,20,0.38515
309,ALIN,Nyctaginaceae,Allionia,incarnata,Allionia,incarnata,y,C4,p,f,core_blue,14.50706776,5,TRUE,0.5993,0.0767,189.140388,0.127982646,FALSE,3.001,5.7522875,-13.982625,2.096820124,32.34997533,15.42811181,0.0607,19,1.5,1.9,0.694,22.2,5.3,5.8,0.0191,0.0189,0.311367381,4.36236e-4,0.2526,0.2521,0.363256484,4.69084e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,ALIN,Nyctaginaceae,Allionia,incarnata,Allionia,incarnata,y,C4,p,f,Sevilleta_Field_Station,13.38319904,5,TRUE,0.5815,0.0838,159.7040458,0.14411006,FALSE,3.265,0.9225875,-13.959625,1.966094525,34.89038034,17.74603402,0.1142,30,1.7,1.5,0.5487,11.1,8,6.3,0.031,0.0308,0.269702277,5.09959e-4,0.1707,0.1704,0.310552214,3.80543e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,ALIN,Nyctaginaceae,Allionia,incarnata,Allionia,incarnata,y,C4,p,f,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.04997787,0.03689025,0.02019339,19.38,1.74,0.089783282,0.051101355,86.16681105,NA,NA,NA
509,ALIN,Nyctaginaceae,Allionia,incarnata,Allionia,incarnata,y,C4,p,f,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.69007353,0.03400863,0.012579441,20.34,1.15,0.05653884,0.061529988,91.41900984,NA,NA,NA
510,ALIN,Nyctaginaceae,Allionia,incarnata,Allionia,incarnata,y,C4,p,f,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.17999406,0.032905403,0.014354949,14.47,1.435,0.099170698,0.067752616,99.9655269,NA,NA,NA
239,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,3.5741864,5,TRUE,0.0789,0.015,238.2790933,0.190114068,FALSE,3.019,5.4228875,-14.214625,2.242632234,38.91660305,17.35309181,0.171,28.8,2.3,2.2,0.1661,25.4,1.8,3.1,0.0305,0.0305,0.178362573,2.66306e-4,0.0498,0.0497,0.299217339,4.05536e-4,NA,NA,NA,NA,NA,NA,NA,NA,5.835,20,0.29175
