"","sample","total.leaf.area"
"141","sevi_08_poja03newleaf2_482_006cropped",2.55
"142","sevi_08_satr01_488_034cropped",0.276
"143","sevi_12_boer01_500_001cropped",0.849
"144","sevi_12_boer02_642_047cropped",1.145
"145","sevi_12_poja01diffleaf_513_014cropped",5.65
"146","sevi_12_poja01diffleaf_513_015cropped",5.71
"147","sevi_12_poja01diffleaf_513_016cropped",5.573
"148","sevi_12_poja01licorleaf_513_017cropped",6.492
"149","sevi_12_poja02_645_049cropped",1.211
"150","sevi_15_boer01_516_042cropped",1.128
"151","sevi_15_boer02_600_043cropped",0.993
"152","sevi_15_poja01_528_007cropped",4.355
"153","sevi_15_poja02_594_027cropped",1.119
"154","sevi_15_poja03_639_050cropped",4.452
"155","sevi_15_satr01_519_028cropped",0.41
"156","sevi_15_satr02_597_029cropped",0.299
"157","sevi_17_boer01_531_013cropped",1.34
"158","sevi_17_boer02_624_045cropped",1.208
"159","sevi_17_poja_HODR_01_543_005cropped",3.243
"160","sevi_17_satr01_534_011cropped",0.94
"161","sevi_17_satr02_621_051cropped",0.487
"162","sevi_17_xasp01_636_046cropped",0.178
"163","sevi_17_xasp02_618_048cropped",0.146
"164","sevi_22_boer01_546_041cropped",1.085
"165","sevi_22_boer02_561_017cropped",0.947
"166","sevi_22_hodr01_573_033cropped",0.945
"167","sevi_22_hodr02_576_016cropped",3.627
"168","sevi_22_spfl01_567_038cropped",10.456
"169","sevi_22_spfl02_570_039cropped",7.456
"170","sevi_25_soel01_494_011cropped",7.168
"171","sevi_25_soel01_540_009cropped",10.169
"172","sevi_25_soel02_525_010cropped",8.02
"173","sevi_25_soel04_585_019cropped",6.195
"174","sevi_35_boer01_552_037cropped",0.852
"175","sevi_35_poja01_558_008cropped",1.499
"176","sevi_35_satr03_504_026cropped",0.297
"177","sevi_35_satr03_549_021cropped",0.249
"178","sevi_35_satr04_522_036cropped",0.407
"179","sevi_35_satr05_630_035cropped",0.238
"180","sevi_35_satr06_633_030cropped",0.24
"181","sevi_35_soel01_479_013cropped",4.726
"182","sevi_35_soel02_510_012cropped",8.461
"183","sevi_35_soel03_591_023cropped",4.928
"184","sevi_35_soel04_588_025cropped",6.3
"185","sevi_39_boer01_491_040cropped",1.481
"186","sevi_39_poja01_537_022cropped",6.988
"187","sevi_39_satr01_507_031cropped",0.655
"188","sevi_39_soel01_579_018cropped",6.017
"189","sevi_39_soel02_582_020cropped",6.044
"190","sevi_40_poja01_564_032cropped",3.131
"191","sevi_40_soel01_555_015cropped",4.382
"192","sevi_40_soel02_603_024cropped",5.853
"193","temple_01_2plantgate01_110cropped",0.114
"194","temple_01_amtr01_003cropped",48.181
"195","temple_01_amtr02_006cropped",47.737
"196","temple_01_amtr03_009cropped",35.799
"197","temple_01_amtr04_069cropped",78.904
"198","temple_01_cien01_089cropped",124.869
"199","temple_01_cien02_092cropped",28.533
"200","temple_01_coca01_072cropped",12.514
"201","temple_01_coer01_095cropped",16.563
"202","temple_01_coer02_098cropped",12.572
"203","temple_01_eude01_039cropped",2.199
"204","temple_01_eupba01_113cropped",0.577
"205","temple_01_eupba02_116cropped",0.471
"206","temple_01_eupha01_113cropped",0.576
"207","temple_01_gapu01_101cropped",4.52
"208","temple_01_gapu02_104cropped",6.928
"209","temple_01_gate01_084cropped",1.465
"210","temple_01_gate02_087cropped",0.823
"211","temple_01_grass01_119cropped",9.925
"212","temple_01_grass02_122cropped",9.27
"213","temple_01_moci01_057cropped",8.115
"214","temple_01_moci02_060cropped",14.013
"215","temple_01_pape01_078cropped",1.169
"216","temple_01_pape02_081cropped",1.903
"217","temple_01_phmo01_125cropped",10.488
"218","temple_01_phmo02_128cropped",15.526
"219","temple_01_rutr01_021cropped",31.628
"220","temple_01_rutr02_024cropped",35.94
"221","temple_01_rutr02_027cropped",30.51
"222","temple_01_scsc01_012cropped",21.731
"223","temple_01_scsc02_015cropped",14.352
"224","temple_01_scsc03_018cropped",13.798
"225","temple_01_scsc04_075cropped",9.57
"226","temple_01_soha01_066cropped",78.611
"227","temple_01_soha02_063cropped",66.205
"228","temple_01_spco01_030cropped",15.437
"229","temple_01_spco01_033cropped",26.792
"230","temple_01_spco02_033cropped",26.791
"231","temple_01_toar01_006cropped",2.646
"232","temple_01_toar02_045cropped",5.626
"233","temple_01_trbr01_048cropped",3.072
"234","temple_01_trbr02_051cropped",7.416
"235","temple_01_trbr03_054cropped",4.319
"236","temple_028_amtr01_013cropped",100.964
"237","temple_08_amtr01_019cropped",85.1
"238","temple_08_amtr02_022cropped",95.131
"239","temple_08_coca01_025cropped",8.426
"240","temple_08_coca02_028cropped",7.737
"241","temple_08_moci01_031cropped",5.875
"242","temple_08_moci02_034cropped",5.423
"243","temple_08_pape01_037cropped",3.352
"244","temple_08_pape02_040cropped",2.002
"245","temple_08_scsc01_013cropped",19.493
"246","temple_08_scsc02_016cropped",7.117
"247","temple_08_soha01_007cropped",90.19
"248","temple_08_soha02_010cropped",36.719
"249","temple_08_toar01_001cropped",1.334
"250","temple_08_toar02_004cropped",4.18
"251","temple_11_amtr01_007cropped",45.859
"252","temple_11_amtr02_010cropped",36.324
"253","temple_11_coca01_019cropped",12.023
"254","temple_11_coca02_022cropped",9.28
"255","temple_11_moci01_031cropped",5.881
"256","temple_11_moci02_034cropped",3.644
"257","temple_11_pste01_037cropped",2.339
"258","temple_11_pste02_040cropped",3.694
"259","temple_11_scsc01_013cropped",17.106
"260","temple_11_scsc02_016cropped",10.414
"261","temple_11_soha01_001cropped",27.509
"262","temple_11_soha02_004cropped",34.805
"263","temple_11_sonu01_043cropped",36.176
"264","temple_11_sonu02_046cropped",29.86
"265","temple_11_toar01_025cropped",1.438
"266","temple_11_toar02_028cropped",3.504
"267","temple_18_amtr01_015cropped",108.161
"268","temple_18_amtr02_016cropped",104.295
"269","temple_18_coca01_019cropped",10.927
"270","temple_18_coca02_022cropped",5.81
"271","temple_18_gate01_031cropped",1.39
"272","temple_18_gate02_034cropped",0.539
"273","temple_18_mipl02_040cropped",1.793
"274","temple_18_mipl03_043cropped",0.439
"275","temple_18_mipl04_004cropped",16.751
"276","temple_18_mipl04_046cropped",7.512
"277","temple_18_scsc01_007cropped",11.984
"278","temple_18_scsc02_010cropped",13.469
"279","temple_18_soha01_001cropped",55.455
"280","temple_18_soha02_004cropped",59.355
"281","temple_18_toar01_025cropped",1.667
"282","temple_18_toar02_028cropped",1.551
"283","temple_21_amtr01_013cropped",67.687
"284","temple_21_amtr02_016cropped",34.585
"285","temple_21_coca01_019cropped",9.208
"286","temple_21_coca02_022cropped",7.781
"287","temple_21_gapu01_031cropped",4.081
"288","temple_21_gapu02_034cropped",7.121
"289","temple_21_mipl02_037cropped",1.626
"290","temple_21_mipl02_040cropped",1.115
"291","temple_21_mipl03_043cropped",0.878
"292","temple_21_mipl04_046cropped",10.208
"293","temple_21_scsc01_007cropped",14.533
"294","temple_21_scsc02_010cropped",8.69
"295","temple_21_soha01_001cropped",51.847
"296","temple_21_soha02_004cropped",50.984
"297","temple_21_toar01_025cropped",1.072
"298","temple_21_toar02_028cropped",0.726
"299","temple_28_amtr01_013cropped",100.974
"300","temple_28_amtr02_016cropped",69.04
"301","temple_28_coca01_019cropped",8.596
"302","temple_28_coca02_022cropped",4.47
"303","temple_28_scsc01_007cropped",19.704
"304","temple_28_scsc02_010cropped",20.705
"305","temple_28_soha01_003cropped",74.235
"306","temple_28_soha02_004cropped",84.463
"307","temple_28_toar01_025cropped",1.585
"308","temple_28_toar02_028cropped",1.215
"309","lubb_05_bogr02_012cropped",0.936
"310","lubb_05_chin02_000cropped",14.512
"311","lubb_05_saka02_003cropped",7.573
