id_photo_original,id,plot,taxon_code,id_multi,,,
arch_01_dicha01_193.jpg,arch,1,dicha01,193,,,
arch_01_dicha02_301.jpg,arch,1,dicha02,301,,,
arch_01_hyed01_283.jpg,arch,1,hyed01,283,,,
arch_01_hyed02_313.jpg,arch,1,hyed02,313,,,
arch_01_pano01_196.jpg,arch,1,pano01,196,,,
arch_08_pano01_229.jpg,arch,8,pano01,229,,,
arch_01_ptpy01_307.jpg,arch,1,ptpy01,307,,,
arch_01_ptpy02_304.jpg,arch,1,ptpy02,304,,,
arch_01_qumi01_199.jpg,arch,1,qumi01,199,,,
arch_01_qumi02_292.jpg,arch,1,qumi02,292,,,
arch_01_scrh01_190(closedleaves).jpg,arch,1,scrh01,190(closedleaves),,,
arch_01_scrh01_190(openleaves).jpg,arch,1,scrh01,190(openleaves),,,
arch_01_scrh02_310.jpg,arch,1,scrh02,310,,,
arch_08_arse01_331.jpg,arch,8,arse01,331,,,
arch_08_arse02_334.jpg,arch,8,arse02,334,,,
arch_08_dicha01_232.jpg,arch,8,dicha01,232,,,
arch_08_dicha02_328.jpg,arch,8,dicha02,328,,,
arch_08_hyed01_286.jpg,arch,8,hyed01,286,,,
arch_08_hyed02_324.jpg,arch,8,hyed02,324,,,
arch_11_pano01_237.jpg,arch,11,pano01,237,,,
arch_18_pano01_247.jpg,arch,18,pano01,247,,,
arch_08_qumi01_226.jpg,arch,8,qumi01,226,,,
arch_08_qumi02_321.jpg,arch,8,qumi02,321,,,
arch_08_scrh01_217.jpg,arch,8,scrh01,217,,,
arch_08_scrh02_318.jpg,arch,8,scrh02,318,,,
arch_11_arse01_359.jpg,arch,11,arse01,359,,,
arch_11_arse02_362.jpg,arch,11,arse02,362,,,
arch_11_dicha01_205.jpg,arch,11,dicha01,205,,,
arch_11_dicha02_356.jpg,arch,11,dicha02,356,,,
arch_11_dicha04_468.jpg,arch,11,dicha04,468,,,
arch_11_hyed01_208.jpg,arch,11,hyed01,208,,,
arch_11_hyed02_350.jpg,arch,11,hyed02,350,,,
arch_11_hyed04_437.jpg,arch,11,hyed04,437,,,
arch_21_pano01_262.jpg,arch,21,pano01,262,,,
arch_28_pano01_277.jpg,arch,28,pano01,277,,,
arch_01_pano02_298.jpg,arch,1,pano02,298,,,
arch_11_qumi01_202.jpg,arch,11,qumi01,202,,,
arch_11_qumi02_347.jpg,arch,11,qumi02,347,,,
arch_11_qumi04_368.jpg,arch,11,qumi04,368,,,
arch_11_scrh01_211.jpg,arch,11,scrh01,211,,,
arch_11_scrh02_344.jpg,arch,11,scrh02,344,,,
arch_11_scrh04_365.jpg,arch,11,scrh04,365,,,
arch_18_arse01_398.jpg,arch,18,arse01,398,,,
arch_18_arse02_401.jpg,arch,18,arse02,401,,,
arch_18_dicha01_252.jpg,arch,18,dicha01,252,,,
arch_18_dicha02_383.jpg,arch,18,dicha02,383,,,
arch_18_dicha04_458.jpg,arch,18,dicha04,458,,,
arch_18_hyed01_241.jpg,arch,18,hyed01,241,,,
arch_18_hyed02_377.jpg,arch,18,hyed02,377,,,
arch_18_hyed04_465.jpg,arch,18,hyed04,465,,,
arch_18_lylu01_386.jpg,arch,18,lylu01,386,,,
