site,type,family,code_field,code_field_updated,taxon,pathway,duration,duration2,con_acq,notes_con_acq,status,code_usda,notes_taxon,taxon_morpho,notes
temple,forb,fabaceae,mipl,miro,mimosa roemeriana,,perennial,,,,native,miro6,synonym mimosa quadrivalvis var. platycarpa. ,,"updated taxon is mimosa roemeriana miro6, plant labels have mipl"
temple,forb,solanaceae,phmo,phmo,physalis mollis,,perennial,,,,native,"phmo9",,,
temple,forb,apiace,ponu,ponu,polytaenia nuttallii,,perennial,,,,native,ponu4,,,
temple,forb,fabaceae,pste,pste,psoralidium tenuiflorum,,perennial,,,,native,pste5,,,
temple,forb,rosaceae,rutr,rutr,rubus trivialis,,perennial,,,,native,rutr,,,
temple,graminoid,poaceae,scsc,scsc,schizachyrium scoparium,c4,perennial,,,,native,scsc,,,
temple,graminoid,poaceae,sonu,sonu,sorghastrum nutans,c4,perennial,,,,native,sonu2,,,
temple,graminoid,poaceae,soha,soha,sorghum halepense,c4,perennial,,,,introduced,"soha",,,
temple,graminoid,poaceae,spco,spco,sporobolus compositus,,perennial,,,,native,"spco16",,,
temple,forb,euphorbiaceae,trbr,trbr,tragia brevispica,,perennial,,,,native,"trbr4",,,
temple,forb,lamiaceae,saaz,saaz,salvia azurea,,perennial,,,,native,saaz,,,
arch,forb,clusiaceae,hyre,hyre,hypericum reductum,,perennial,,,,native,hyte11,"updated to hypericum tenuifolium, hyte11 ",,used older taxon (h. reductum) for simplicity
sevi,forb,poaceae,crcr,crcr,cryptantha crassisepala,,annual,,,,native,crcr3,,stabbfuzz,"not sampled for measurments, dead"
sevi,forb,poaceae,depi,depi,descurainia pinnata,,annual,,acquisitive,mk thought,native,depi,,,"not sampled for measurments, dead. Annual, biennial or seldom a perennial"
sevi,forb,euphorbiaceae,eupho,eupho,euphorbia sp.,unknown,unknown,,unknown,,unknown,eupho,,,
temple,forb,asteraceae,astera,astera,asteraceae sp. ,unknown,unknown,,unknown,,unknown,astera,,,
temple,forb,brassicaceae,brassi,brassi,brassicaceae sp.,unknown,unknown,,unknown,,unknown,brassi,,,
temple,forb,euphorbiaceae,eupho,eupho,euphorbia sp.,unknown,unknown,,unknown,,unknown,eupho,,,
temple,forb,euphorbiaceae,sodi,sodi,solanum dimidiatum,,perennial,,,,native,sodi,,,
lubb,forb,euphorbiaceae,chla10,chla10,chamaesyce lata,,perennial,,,,native,chla10,,,
sevi,forb,euphorbiaceae,chama,chama,chamaesyce sp.,,unknown,,unknown,,unknown,chama15,,,
temple,forb,asteraceae,ceme,ceme,centaurea melitensis,,annual,,,,introduced,ceme2,,,"annual, biennial"
temple,graminoid,poaceae,elca,elca,elymus canadensis,,perennial,,,,native,elca4,,,
temple,forb,geraniaceae,erte,erte,erodium texanum,,annual,,acquisitive,mk thought,native,erte13,,,"annual, biennial"
temple,forb,oxalidaceae,oxst,oxst,oxalis stricta,,perennial,,,,native,oxst,,,
temple,forb,Iridaceae,sisyr,sisyr,sisyrinchium sp.,,annual,,,,native,sisyr,,,
temple,forb,asteraceae,syer,syer,symphyotrichum ericoides,,perennial,,,,native,syer,,,
temple,forb,asteraceae,trpe4,trpe,triodanis perfoliata,,annual,,,,native,trpe4,,,
