taxon_code,type,type_sub
scrh,herbaceous,graminoid
scrh,herbaceous,graminoid
scrh,herbaceous,graminoid
panic,herbaceous,graminoid
panic,herbaceous,graminoid
amtr,herbaceous,forb
coca,herbaceous,forb
scsc,herbaceous,graminoid
scsc,herbaceous,graminoid
scsc,herbaceous,graminoid
scsc,herbaceous,graminoid
scsc,herbaceous,graminoid
scsc,herbaceous,graminoid
sisyr,herbaceous,forb
sodi,herbaceous,forb
sodi,herbaceous,forb
sodi,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soel,herbaceous,forb
soha,herbaceous,graminoid
soha,herbaceous,graminoid
soha,herbaceous,graminoid
soha,herbaceous,graminoid
soha,herbaceous,graminoid
soha,herbaceous,graminoid
soha,herbaceous,graminoid
soha,herbaceous,graminoid
sonu,herbaceous,graminoid
sonu,herbaceous,graminoid
sonu,herbaceous,graminoid
moci,herbaceous,forb
spco,herbaceous,graminoid
spco,herbaceous,graminoid
spco,herbaceous,graminoid
spco,herbaceous,graminoid
spfl,herbaceous,graminoid
spfl,herbaceous,graminoid
syer,herbaceous,forb
syer,herbaceous,forb
tela,herbaceous,forb
rutr,herbaceous,forb
scsc,herbaceous,graminoid
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
toar,herbaceous,forb
trbr,herbaceous,forb
trpe,herbaceous,forb
trpe,herbaceous,forb
trpe,herbaceous,forb
trpe,herbaceous,forb
xasp,herbaceous,forb
xasp,herbaceous,forb
xasp,herbaceous,forb
xasp,herbaceous,forb
xasp,herbaceous,forb
galiu,herbaceous,forb
