site_code,site,experiment_type,block,plot,N,P,K,Exclose,Treatment_Other_Name,Treatment_Other_Level,Treatment,first_nutrient_year,first_fenced_year
anti.ec,anti,Observational,1,2,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,3,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,4,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,5,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,6,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,7,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,8,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,9,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,1,10,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,11,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,12,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,13,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,14,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,15,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,16,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,17,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,18,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,19,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,2,20,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,21,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,22,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,23,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,24,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,25,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,26,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,27,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,28,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,29,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,3,30,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,4,31,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,4,32,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,4,33,0,0,0,0,NULL,NULL,Control,NULL,NULL
anti.ec,anti,Observational,4,34,0,0,0,0,NULL,NULL,Control,NULL,NULL
