site,rain_intensity,type,weight_n_percent,weight_c_percent,"isotope_
source",isotope_location,isotope_notes,UC Davis_smallest_calculator weight.mg_15N.13C,UC Davis_optimal_calculator weight.mg_15N.13C,UC Davis_largest_calculator weight.mg_15N.13C,taxon_code,family,taxon,Notes
lubb,low,forb,1.345981,35.54198305,sevi database,New Mexico,salsola kali (updated species),1.48,5.63,5.63,HYOD,Amaranthaceae,salsola tragus,
lubb,low,forb,1.345981,35.54198305,sevi database,New Mexico,salsola kali (updated species),1.48,5.63,5.63,SAKA,Amaranthaceae,salsola tragus,
sevi,very low,forb,1.345981,35.54198305,sevi database,New Mexico,salsola kali (updated species),1.48,5.63,5.63,SATR,Amaranthaceae,salsola tragus,
arch,high,grass,1.074,43.048,try,Kansas,"species, Schizachyrium scoparium",1.87,4.65,4.65,SCRH,Poaceae,schizachyrium rhizomatum,
temple,medium,grass,1.98,46.97366667,evan,Texas,,1.01,4.26,4.26,SCSC,Poaceae,schizachyrium scoparium,
lubb,low,forb,2.718269231,44.11704808,evan,Texas,,0.74,3.68,4.53,SOEL,Solanaceae,solanum elaeagnifolium,
sevi,very low,forb,2.313084314,46.18959534,sevi database,New Mexico,,0.87,4.33,4.33,SOEL,Solanaceae,solanum elaeagnifolium,
temple,medium,grass,1.123,39.399,try,Kansas,,1.79,5.08,5.08,SONU,Poaceae,sorghastrum nutans,
temple,medium,grass,1.520578947,43.00842105,evan,Texas,,1.32,4.65,4.65,SOHA,Poaceae,sorghum halapense,
temple,medium,grass,1.274,41.748,try,Kansas,,1.57,4.79,4.79,SPCO,Poaceae,sporobolus compositus,
sevi,very low,grass,1.485009902,44.81954299,sevi database,New Mexico,,1.34,4.46,4.46,SPFL,Poaceae,sporobolus flexuosus,
temple,medium,forb,2.012,37.659,try,Kansas,,1,4.98,5.31,TOAR,Apiaceae,torilis arvensis,
temple,medium,forb,3.318,41.898,try,Kansas,"Tragia betonicifolia",0.6,3.01,4.52,TRBR,Euphorbiaceae,tragia brevispica,
sevi,very low,forb,2.107084792,47.15976331,sevi database,New Mexico,"Machaeranthera pinnatifida, species",0.95,4.24,4.24,XASP,Asteraceae,xanthisma spinulosum,"Updated Machaeranthera pinnatifida, MAPI"
