"","sampleID","Kartez","family","genus_new","species_new","genus_old","species_old","Native","PhotoPath","LifeHistory","FunctionalGroup","site","lf_sum_area","lf_n_pieces","lf_whole_ind","lf_wet_mass","lf_dry_mass","sla","ldmc","lf_petiole_ind","lf_iso_mass","lf_iso_d15N","lf_iso_d13C","lf_iso_pN","lf_iso_pC","taxon","mean.c.percent_taxon","mean.n.value_taxon"
"264","157","SEBA3","Fabaceae","Senna","bauhinioides","Senna","bauhinioides","y","C3","p","f","core_blue",6.61159968,8,TRUE,0.2387,0.0479,138.0292209,0.200670297,FALSE,3.19,1.173533333,-27.64766667,1.814054368,43.73177091,"Senna bauhinioides",43.02525553,1.96886918366667
"265","187","SOEL","Solanaceae","Solanum","elaeagnifolium","Solanum","elaeagnifolium","y","C3","p","f","core_blue",17.23028812,5,TRUE,0.5961,0.1448,118.9937025,0.242912263,FALSE,3.118,2.340111111,-28.33311111,2.164006542,44.71664864,"Solanum elaeagnifolium",46.18959534,2.31308431433333
"266","188","SOEL","Solanaceae","Solanum","elaeagnifolium","Solanum","elaeagnifolium","y","C3","p","f","core_blue",18.2709312,5,TRUE,0.644,0.1618,112.922937,0.251242236,FALSE,3.027,2.762611111,-28.73211111,2.228811951,46.37303344,"Solanum elaeagnifolium",46.18959534,2.31308431433333
"267","189","SOEL","Solanaceae","Solanum","elaeagnifolium","Solanum","elaeagnifolium","y","C3","p","f","core_blue",24.66511196,5,TRUE,0.825,0.2155,114.4552759,0.261212121,FALSE,3.031,2.348111111,-27.78111111,2.54643445,47.47910394,"Solanum elaeagnifolium",46.18959534,2.31308431433333
"268","400","SPCOC","Malvaceae","Sphaeralcea","coccinea","Sphaeralcea","coccinea","y","C3","p","f","core_PJ",3.29160632,4,TRUE,0.1043,0.0275,119.6947753,0.263662512,FALSE,3.063,-0.513888889,-26.94611111,1.125841603,45.64917142,"Sphaeralcea coccinea",44.5439934933333,0.956346757
"269","401","SPCOC","Malvaceae","Sphaeralcea","coccinea","Sphaeralcea","coccinea","y","C3","p","f","core_PJ",3.64321852,5,TRUE,0.1222,0.031,117.5231781,0.253682488,FALSE,3.248,-0.118888889,-26.66711111,0.827604214,43.43945263,"Sphaeralcea coccinea",44.5439934933333,0.956346757
"270","402","SPCOC","Malvaceae","Sphaeralcea","coccinea","Sphaeralcea","coccinea","y","C3","p","f","core_PJ",2.16064084,3,TRUE,0.0678,0.0153,141.2183556,0.225663717,FALSE,3.23,-1.172888889,-28.27211111,0.915594454,44.54335643,"Sphaeralcea coccinea",44.5439934933333,0.956346757
"271","190","SPHA","Malvaceae","Sphaeralcea","hastulata","Sphaeralcea","hastulata","y","C3","p","f","core_blue",7.34708208,5,TRUE,0.2106,0.0602,122.0445528,0.285849953,FALSE,3.239,5.895111111,-29.36511111,1.950911574,45.87784815,"Sphaeralcea hastulata",44.8373068566667,2.30995453633333
"272","191","SPHA","Malvaceae","Sphaeralcea","hastulata","Sphaeralcea","hastulata","y","C3","p","f","core_blue",7.3128886,5,TRUE,0.2351,0.0566,129.2029788,0.240748618,FALSE,3.123,5.809111111,-29.19011111,2.562404654,45.04932844,"Sphaeralcea hastulata",44.8373068566667,2.30995453633333
"273","303","SPHA","Malvaceae","Sphaeralcea","hastulata","Sphaeralcea","hastulata","y","C3","p","f","core_blue",12.60061996,5,TRUE,0.403,0.0853,147.7212188,0.211662531,FALSE,3.126,3.741111111,-30.89411111,2.416547381,43.58474398,"Sphaeralcea hastulata",44.8373068566667,2.30995453633333
"274","2020A_6","SPLE","Malvaceae","Sphaeralcea","leptophylla","Sphaeralcea","leptophylla","y","C3","p","f","core_black",4.19354,5,TRUE,0.179,0.039,107.5266667,0.217877095,FALSE,5.993,2.8,-28.2,2.5,40,"Sphaeralcea leptophylla",40.05,2.45
"275","2020A_7","SPLE","Malvaceae","Sphaeralcea","leptophylla","Sphaeralcea","leptophylla","y","C3","p","f","core_black",6.387084,5,TRUE,0.288,0.061,104.7062951,0.211805556,FALSE,6.112,4.2,-27.7,2.4,40.1,"Sphaeralcea leptophylla",40.05,2.45
"276","311","SPPO6","Malvaceae","Sphaeralcea","polychroma","Sphaeralcea","polychroma","y","C3","p","f","core_creosote",6.67676084,5,TRUE,0.1831,0.0497,134.3412644,0.271436374,FALSE,3.287,0.381111111,-28.58311111,1.94386077,46.69458141,"Sphaeralcea polychroma",46.4391782566667,1.929548671
"277","312","SPPO6","Malvaceae","Sphaeralcea","polychroma","Sphaeralcea","polychroma","y","C3","p","f","core_creosote",12.53674912,5,TRUE,0.4074,0.1238,101.266148,0.303878252,FALSE,3.014,-0.059888889,-29.06311111,1.514703473,45.84669129,"Sphaeralcea polychroma",46.4391782566667,1.929548671
"278","313","SPPO6","Malvaceae","Sphaeralcea","polychroma","Sphaeralcea","polychroma","y","C3","p","f","core_creosote",11.23675172,5,TRUE,0.3172,0.0871,129.0097786,0.274590164,FALSE,3.057,1.934111111,-28.67311111,2.33008177,46.77626207,"Sphaeralcea polychroma",46.4391782566667,1.929548671
"279","418","SPCO4","Poaceae","Sporobolus","contractus","Sporobolus","contractus","y","C4","p","g","core_blue",14.31416492,8,TRUE,0.2772,0.0891,160.6528049,0.321428571,FALSE,3.24,4.775111111,-15.18011111,2.008116815,44.3814877,"Sporobolus contractus",45.42469503,1.77493030433333
"280","424","SPCO4","Poaceae","Sporobolus","contractus","Sporobolus","contractus","y","C4","p","g","core_blue",19.08125216,6,FALSE,0.3825,0.1188,160.6166007,0.310588235,FALSE,3.107,3.309611111,-14.72811111,1.335941511,45.9972057,"Sporobolus contractus",45.42469503,1.77493030433333
"281","425","SPCO4","Poaceae","Sporobolus","contractus","Sporobolus","contractus","y","C4","p","g","core_blue",15.6967428,12,FALSE,0.2524,0.0819,191.6574212,0.324484945,FALSE,3.173,5.389611111,-15.27011111,1.980732587,45.89539169,"Sporobolus contractus",45.42469503,1.77493030433333
"282","41","SPFL2","Poaceae","Sporobolus","flexuosus","Sporobolus","flexuosus","y","C4","p","g","core_black",9.56707764,14,FALSE,0.1532,0.0568,168.4344655,0.37075718,FALSE,3.227,1.308111111,-15.64511111,1.587774399,44.29091653,"Sporobolus flexuosus",44.8195429866667,1.485009902
"283","444","SPFL2","Poaceae","Sporobolus","flexuosus","Sporobolus","flexuosus","y","C4","p","g","core_blue",6.2935358,4,FALSE,0.1205,0.0423,148.7833522,0.351037344,FALSE,3.284,-0.705888889,-15.73311111,1.535600597,44.55985815,"Sporobolus flexuosus",44.8195429866667,1.485009902
"284","445","SPFL2","Poaceae","Sporobolus","flexuosus","Sporobolus","flexuosus","y","C4","p","g","core_blue",12.52771688,8,FALSE,0.2192,0.0797,157.1859082,0.363594891,FALSE,3.211,0.625111111,-15.44011111,1.33165471,45.60785428,"Sporobolus flexuosus",44.8195429866667,1.485009902
"285","265","STPA4","Asteraceae","Stephanomeria","pauciflora","Stephanomeria","pauciflora","y","C3","p","f","core_blue",4.08321764,5,TRUE,0.1464,0.0275,148.4806415,0.18784153,FALSE,3.245,3.397511111,-27.75211111,2.970622307,48.16038885,"Stephanomeria pauciflora",47.7939499166667,2.774153514
"286","267","STPA4","Asteraceae","Stephanomeria","pauciflora","Stephanomeria","pauciflora","y","C3","p","f","core_blue",8.22579,4,TRUE,0.3021,0.0426,193.093662,0.14101291,FALSE,3.149,3.820111111,-28.32811111,2.318005067,46.12455941,"Stephanomeria pauciflora",47.7939499166667,2.774153514
"287","268","STPA4","Asteraceae","Stephanomeria","pauciflora","Stephanomeria","pauciflora","y","C3","p","f","core_blue",3.62128308,5,TRUE,0.138,0.028,129.3315386,0.202898551,FALSE,3.175,1.306111111,-27.76211111,3.033833168,49.09690149,"Stephanomeria pauciflora",47.7939499166667,2.774153514
"288","40","TILA2","Amaranthaceae","Tidestromia","lanuginosa","Tidestromia","lanuginosa","y","C4","a","f","core_black",3.13418728,5,TRUE,0.0774,0.0203,154.3934621,0.262273902,FALSE,3.279,6.167111111,-14.57111111,2.282376403,39.95503364,"Tidestromia lanuginosa",40.2890546666667,2.708602765
"289","136","TILA2","Amaranthaceae","Tidestromia","lanuginosa","Tidestromia","lanuginosa","y","C4","a","f","core_black",3.88515352,5,TRUE,0.1036,0.0255,152.3589616,0.246138996,FALSE,3.222,6.494711111,-14.48711111,3.056079921,41.09747934,"Tidestromia lanuginosa",40.2890546666667,2.708602765
"290","137","TILA2","Amaranthaceae","Tidestromia","lanuginosa","Tidestromia","lanuginosa","y","C4","a","f","core_black",2.4709628,5,TRUE,0.0578,0.0149,165.8364295,0.257785467,FALSE,3.207,3.440111111,-14.75711111,2.787351971,39.81465102,"Tidestromia lanuginosa",40.2890546666667,2.708602765
"291","127","ZIGR","Asteraceae","Zinnia","grandiflora","Zinnia","grandiflora","y","C3","p","s","core_blue",2.21031816,10,TRUE,0.0562,0.0173,127.7640555,0.307829181,FALSE,3.225,0.253111111,-28.43311111,2.203604066,45.34415497,"Zinnia grandiflora",44.7356355666667,1.851782658
"292","128","ZIGR","Asteraceae","Zinnia","grandiflora","Zinnia","grandiflora","y","C3","p","s","core_blue",2.21354396,5,TRUE,0.0559,0.0169,130.9789325,0.302325581,FALSE,3.246,0.992111111,-28.40111111,1.476946367,45.39078921,"Zinnia grandiflora",44.7356355666667,1.851782658
"293","129","ZIGR","Asteraceae","Zinnia","grandiflora","Zinnia","grandiflora","y","C3","p","s","core_blue",2.48967244,10,TRUE,0.0617,0.0183,136.0476743,0.296596434,FALSE,3.023,3.292111111,-29.33511111,1.874797541,43.47196252,"Zinnia grandiflora",44.7356355666667,1.851782658
