"","sample","total.leaf.area"
"141","sevi_08_poja03newleaf2_482_006cropped",5.1
"142","sevi_08_satr01_488_034cropped",0.552
"143","sevi_12_boer01_500_001cropped",1.698
"144","sevi_12_boer02_642_047cropped",2.29
"145","sevi_12_poja01diffleaf_513_014cropped",11.3
"146","sevi_12_poja01diffleaf_513_015cropped",11.42
"147","sevi_12_poja01diffleaf_513_016cropped",11.146
"148","sevi_12_poja01licorleaf_513_017cropped",12.984
"149","sevi_12_poja02_645_049cropped",2.422
"150","sevi_15_boer01_516_042cropped",2.256
"151","sevi_15_boer02_600_043cropped",1.986
"152","sevi_15_poja01_528_007cropped",8.71
"153","sevi_15_poja02_594_027cropped",2.238
"154","sevi_15_poja03_639_050cropped",8.904
"155","sevi_15_satr01_519_028cropped",0.82
"156","sevi_15_satr02_597_029cropped",0.598
"157","sevi_17_boer01_531_013cropped",2.68
"158","sevi_17_boer02_624_045cropped",2.416
"159","sevi_17_poja_HODR_01_543_005cropped",6.486
"160","sevi_17_satr01_534_011cropped",1.88
"161","sevi_17_satr02_621_051cropped",0.974
"162","sevi_17_xasp01_636_046cropped",0.356
"163","sevi_17_xasp02_618_048cropped",0.292
"164","sevi_22_boer01_546_041cropped",2.17
"165","sevi_22_boer02_561_017cropped",1.894
"166","sevi_22_hodr01_573_033cropped",1.89
"167","sevi_22_hodr02_576_016cropped",7.254
"168","sevi_22_spfl01_567_038cropped",20.912
"169","sevi_22_spfl02_570_039cropped",14.912
"170","sevi_25_soel01_494_011cropped",14.336
"171","sevi_25_soel01_540_009cropped",20.338
"172","sevi_25_soel02_525_010cropped",16.04
"173","sevi_25_soel04_585_019cropped",12.39
"174","sevi_35_boer01_552_037cropped",1.704
"175","sevi_35_poja01_558_008cropped",2.998
"176","sevi_35_satr03_504_026cropped",0.594
"177","sevi_35_satr03_549_021cropped",0.498
"178","sevi_35_satr04_522_036cropped",0.814
"179","sevi_35_satr05_630_035cropped",0.476
"180","sevi_35_satr06_633_030cropped",0.48
"181","sevi_35_soel01_479_013cropped",9.452
"182","sevi_35_soel02_510_012cropped",16.922
"183","sevi_35_soel03_591_023cropped",9.856
"184","sevi_35_soel04_588_025cropped",12.6
"185","sevi_39_boer01_491_040cropped",2.962
"186","sevi_39_poja01_537_022cropped",13.976
"187","sevi_39_satr01_507_031cropped",1.31
"188","sevi_39_soel01_579_018cropped",12.034
"189","sevi_39_soel02_582_020cropped",12.088
"190","sevi_40_poja01_564_032cropped",6.262
"191","sevi_40_soel01_555_015cropped",8.764
"192","sevi_40_soel02_603_024cropped",11.706
"193","temple_01_2plantgate01_110cropped",0.228
"194","temple_01_amtr01_003cropped",96.362
"195","temple_01_amtr02_006cropped",95.474
"196","temple_01_amtr03_009cropped",71.598
"197","temple_01_amtr04_069cropped",157.808
"198","temple_01_cien01_089cropped",249.704
"199","temple_01_cien02_092cropped",57.066
"200","temple_01_coca01_072cropped",25.028
"201","temple_01_coer01_095cropped",33.126
"202","temple_01_coer02_098cropped",25.144
"203","temple_01_eude01_039cropped",4.398
"204","temple_01_eupba01_113cropped",1.154
"205","temple_01_eupba02_116cropped",0.942
"206","temple_01_eupha01_113cropped",1.152
"207","temple_01_gapu01_101cropped",9.04
"208","temple_01_gapu02_104cropped",13.856
"209","temple_01_gate01_084cropped",2.93
"210","temple_01_gate02_087cropped",1.646
"211","temple_01_grass01_119cropped",19.824
"212","temple_01_grass02_122cropped",18.54
"213","temple_01_moci01_057cropped",16.23
"214","temple_01_moci02_060cropped",28.019
"215","temple_01_pape01_078cropped",2.338
"216","temple_01_pape02_081cropped",3.806
"217","temple_01_phmo01_125cropped",20.976
"218","temple_01_phmo02_128cropped",31.052
"219","temple_01_rutr01_021cropped",63.231
"220","temple_01_rutr02_024cropped",71.879
"221","temple_01_rutr02_027cropped",61.003
"222","temple_01_scsc01_012cropped",43.462
"223","temple_01_scsc02_015cropped",28.704
"224","temple_01_scsc03_018cropped",27.596
"225","temple_01_scsc04_075cropped",19.14
"226","temple_01_soha01_066cropped",156.986
"227","temple_01_soha02_063cropped",132.41
"228","temple_01_spco01_030cropped",30.874
"229","temple_01_spco01_033cropped",53.556
"230","temple_01_spco02_033cropped",53.582
"231","temple_01_toar01_006cropped",5.292
"232","temple_01_toar02_045cropped",11.252
"233","temple_01_trbr01_048cropped",6.144
"234","temple_01_trbr02_051cropped",14.832
"235","temple_01_trbr03_054cropped",8.638
"236","temple_028_amtr01_013cropped",201.915
"237","temple_08_amtr01_019cropped",170.2
"238","temple_08_amtr02_022cropped",190.262
"239","temple_08_coca01_025cropped",16.852
"240","temple_08_coca02_028cropped",15.474
"241","temple_08_moci01_031cropped",11.75
"242","temple_08_moci02_034cropped",10.846
"243","temple_08_pape01_037cropped",6.704
"244","temple_08_pape02_040cropped",4.004
"245","temple_08_scsc01_013cropped",38.986
"246","temple_08_scsc02_016cropped",14.234
"247","temple_08_soha01_007cropped",180.376
"248","temple_08_soha02_010cropped",73.438
"249","temple_08_toar01_001cropped",2.668
"250","temple_08_toar02_004cropped",8.356
"251","temple_11_amtr01_007cropped",91.718
"252","temple_11_amtr02_010cropped",72.628
"253","temple_11_coca01_019cropped",24.046
"254","temple_11_coca02_022cropped",18.56
"255","temple_11_moci01_031cropped",11.762
"256","temple_11_moci02_034cropped",7.288
"257","temple_11_pste01_037cropped",4.678
"258","temple_11_pste02_040cropped",7.388
"259","temple_11_scsc01_013cropped",34.212
"260","temple_11_scsc02_016cropped",20.828
"261","temple_11_soha01_001cropped",55.018
"262","temple_11_soha02_004cropped",69.61
"263","temple_11_sonu01_043cropped",72.352
"264","temple_11_sonu02_046cropped",59.72
"265","temple_11_toar01_025cropped",2.876
"266","temple_11_toar02_028cropped",7.008
"267","temple_18_amtr01_015cropped",216.322
"268","temple_18_amtr02_016cropped",208.576
"269","temple_18_coca01_019cropped",21.854
"270","temple_18_coca02_022cropped",11.62
"271","temple_18_gate01_031cropped",2.78
"272","temple_18_gate02_034cropped",1.078
"273","temple_18_mipl02_040cropped",3.586
"274","temple_18_mipl03_043cropped",0.878
"275","temple_18_mipl04_004cropped",33.502
"276","temple_18_mipl04_046cropped",14.977
"277","temple_18_scsc01_007cropped",23.963
"278","temple_18_scsc02_010cropped",26.938
"279","temple_18_soha01_001cropped",110.91
"280","temple_18_soha02_004cropped",118.71
"281","temple_18_toar01_025cropped",3.334
"282","temple_18_toar02_028cropped",3.083
"283","temple_21_amtr01_013cropped",135.374
"284","temple_21_amtr02_016cropped",69.17
"285","temple_21_coca01_019cropped",18.416
