,,,,,,,,,,,,,,,,isotope packing,,,,,,,
position,Box #,col_a-g,row_1-7,site,plot,trt,taxon,rep,multi_envelope,extra_envelope,vial ID / sample ID,extra needed?,Notes,who,ground,uc davis weight ideal,weight,plate,well id,comment_isotope,comment_minig,comment_problems,why
40,1,E,6,temple,1,ctl,SPCO,1,030,,multi_tmpl_01_ctl_SPCO_01_030,no,,hg,yes,,,1,D4,,,,
41,1,F,6,temple,21,ctl,MIPL,4,046,,multi_tmpl_21_ctl_MIPL_04_046,added,"all smpl used, used extra",hg,yes,,,1,D5,,,,
42,1,G,6,temple,21,ctl,MIPL,2,040,,multi_tmpl_21_ctl_MIPL_02_040,added,"all smpl ussed, used extra",hg,yes,,,1,D6,,,,
43,1,A,7,temple,21,ctl,MIPL,3,043,,multi_tmpl_21_ctl_MIPL_03_043,added,"all smpl used, used extra",hg,yes,,,1,D7,,,,
44,1,B,7,temple,1,ctl,SCSC,4,075,,multi_tmpl_01_ctl_SCSC_04_075_hard,no,"all smpl used, no need for extra",hg,yes,,,1,D8,,,,
45,1,C,7,temple,1,ctl,SCSC,3,018,,multi_tmpl_01_ctl_SCSC_03_018,no,"all smpl used, no need for extra",hg,yes,,,1,D9,,,,
46,1,D,7,temple,1,ctl,SCSC,2,015,,multi_tmpl_01_ctl_SCSC_02_015,no,"all smpl used, no need for extra",hg,yes,,,1,D10,,,,
47,1,E,7,temple,1,ctl,SCSC,NA,012,,multi_tmpl_01_ctl_SCSC_NA_012_hard,no,"all smpl used, no need for extra, rep # discrepancy",hg,yes,,,1,D11,,,,
48,1,F,7,temple,1,ctl,AMTR,2,006,,multi_tmpl_01_ctl_AMTR_02_006,no,,hg,yes,,,1,D12,,,,
49,1,G,7,temple,18,npk,MIPL,1,037,,multi_tmpl_18_npk_MIPL_01_037,added,"all smpl used, extra added",hg,yes,,,1,E1,,,,
50,2,A,1,temple,18,npk,GATE,2,034,,multi_tmpl_18_npk_GATE_02_034,added,"all smpl used, all extra added",hg,yes,,,1,E2,,,,
51,2,B,1,temple,1,ctl,PAPE,1,078,,multi_tmpl_01_ctl_PAPE_01_078,added,"all smpl used, all extra added",hg,yes,,,1,E3,,,,
52,2,C,1,temple,18,npk,COCA,1,019,,multi_tmpl_18_npk_COCA_01_019_hard,no,"all smpl used, no need for extra",hg,yes,,,1,E4,,,,
53,2,D,1,temple,21,ctl,GAPU,1,031,,multi_tmpl_21_ctl_GAPU_01_031,added,"all smpl used, all extra added",hg,yes,,,1,E5,,,,
54,2,E,1,temple,1,ctl,2PGATE,1,110,,multi_tmpl_01_ctl_2PGATE_01_110,added,"all smpl used, all extra added",hg,yes,,,1,E6,,,,
55,2,F,1,temple,1,ctl,EUPBA,1,113,,multi_tmpl_01_ctl_EUPBA_01_113,added,"all smpl used, all extra added",hg,yes,,,1,E7,,,,
56,2,G,1,temple,1,ctl,EUPBA,2,116,,multi_tmpl_01_ctl_EUPBA_02_116,added,"all smpl used, all extra added",hg,yes,,,1,E8,,,,
57,2,A,2,temple,1,ctl,GAPU,1,101,,multi_tmpl_01_ctl_GAPU_01_101,added,"all smpl used, all extra added",hg,yes,,,1,E9,,,,
58,2,B,2,temple,1,ctl,GAPU,2,104,,multi_tmpl_01_ctl_GAPU_02_104,added,"all smpl used, extra added",hg,yes,,,1,E10,,,,
59,2,C,2,temple,1,ctl,RUTR,2,024,,multi_tmpl_01_ctl_RUTR_02_024,no,,hg,yes,,,1,E11,,,,
60,2,D,2,temple,28,npk,TOAR,2,028,,multi_tmpl_28_npk_TOAR_02_028,added,"all smpl used, all extra added",hg,yes,,,1,E12,,,,
61,2,E,2,temple,1,ctl,EUDE,1,039,,multi_tmpl_01_ctl_EUDE_01_039,added,"all smpl used, all extra added",hg,yes,,,1,F1,,,,
62,2,F,2,temple,1,ctl,GATE,1,084,,multi_tmpl_01_ctl_GATE_01_084,added,"all smpl used, all extra added",hg,yes,,,1,F2,,,,
63,2,G,2,temple,1,ctl,GATE,2,087,,multi_tmpl_01_ctl_GATE_02_087,added,"all smpl used, all extra added",hg,yes,,,1,F3,,,,
