site,rain_intensity,type,weight_n_%,weight_c_%,"isotope_
source","isotope_
locaiton",isotope_notes,"(Smallest) UC Davis 
calculator weight (mg) for 15N and 13C","(Optimal) UC Davis 
calculator weight (mg) for 15N and 13C","(largest) UC Davis 
calculator weight (mg) for 15N and 13C",data good/ look / need,code,family,taxon,pathway,duration,duration2,misID,morpho-id,Notes
temple,medium,forb,3.405,40.052,try,Kansas,"Evan Ambrosia sp.: carbon ~41, nitrogen ~ 2 - 2.8",0.59,2.94,4.41,good,AMTR,Asteraceae,ambrosia trifida,,annual,,,,
lubb,low,forb,2.268960097,39.67865502,average,average,average of the others site locations,0.88,4.41,5.04,need - average used,ARHUH,Euphorbiaceae,argythamnia humilis,,perennial,,,,
arch,high,forb,2.09,44.07,try,Florida,"Asimina angustifolia",0.96,4.54,4.54,look,ARSE,Annonaceae,asimina reticulata,,perennial,,,glaumid / orange,
arch,high,grass,1.9536,43.0846,average,average,average of grasses across the site,1.03,4.64,4.64,need - average used,AXFU,Poaceae,axonopus furcatus,,perennial,,paspalum setaceum,,vegetative state very similar to PANO. Might have mixed species in the field. Rounded leaves
sevi,very low,grass,1.247806685,43.50956098,sevi database,New Mexico,,1.6,4.6,4.6,good,BOER,Poaceae,bouteloua eriopoda,c4,perennial,,,,
lubb,low,grass,1.583,44.064,try,Kansas,,1.27,4.54,4.54,good,BOGR2,Poaceae,bouteloua gracilis,c4,perennial,,,,
arch,high,forb,1.5276,48.34375,average,average,average of forbs by arch,1.31,4.14,4.14,need - average used,CARPH,Asteraceae,carphephorus odoratissimus,,perennial,,,turkey vein spoon,
lubb,low,forb,2.756296528,36.58113973,sevi database,New Mexico,,0.72,3.62,5.43,good,CHIN2,Chenopodiaceae,chenopodium incanum,,annual,,,,
temple,medium,forb_carpet,2.355,40.844,try,Kansas,Cirsium undulatum,0.85,4.24,4.9,look,CIEN,Asteraceae,cirsium englemannii,,perennial,,,,
temple,medium,forb,2.328365417,40.14629583,average,average,average of the others site locations,0.86,4.29,4.98,need - average used,COCA,Menispermaceae,cocculus carolinus,,perennial,,,,
temple,medium,forb,3.242,42.357,evan,Texas,,0.62,3.09,4.63,good,COER,Commelinaceae,commelina erecta,,perennial,,,,
arch,high,grass,1.7,45.14,try,Alabama,one in alabama but might be able to find one closer? ,1.18,4.43,4.43,look,DICHA,Poaceae,dichanthelium sp.,c3?,perennial,,,,
arch,high,forb,1.798,45.135,try,Alabama,Sp. used Eupatorium rotundifolium,1.11,4.43,4.43,look,EUMO,Asteraceae,eupatorium mohrii,,perennial,,,redline,
temple,medium,forb,2.149,43.874,try,Kansas,,0.93,4.56,4.56,good,EUDE,Euphorbiaceae,euphorbia dentata,,annual,,,,
temple,medium,forb,1.855,44.727,try,Kansas,,1.08,4.47,4.47,good,EUBPA,Euphorbiaceae,euphorbia spathulata,,annual,annual/ perennial,,,
temple,medium,forb,3.095375,41.97125,Evan,Texas,,0.68,3.23,4.77,good,GAPU,Asteraceae,gaillardia pulchella,,annual,annual/ perennial,,,
temple,medium,forb,1.858,40.344,try,Kansas,Galium aparine,1.08,4.96,4.96,look,2PGATE,Rubiaceae,galium texense,,annual,,,,
temple,medium,forb,1.858,40.344,try,Kansas,Galium aparine,1.08,4.96,4.96,look,GATE,Rubiaceae,galium texense,,annual,,,,
sevi,very low,forb,2.016492286,46.75897431,sevi database,New Mexico,,0.99,4.28,4.28,good,HODR,Fabaceae,hoffmannseggia drepanocarpa,,perennial,,,,
arch,high,forb,1.6,50.98,try,Florida,"Hypericum fasciculatum",1.25,3.92,3.92,look,HYED,Hypericaceae,hypericum edisonianum,,perennial,,,,
arch,high,forb,1.5276,48.34375,average,average,average of forbs by arch,1.31,4.14,4.14,need - average used,LUSU,Onagraceae,ludwigia suffruticosa,,perennial,,,alt. prom midvein / prom mid vein,
arch,high,forb,1.26,53.19,try,Florida,,1.59,3.76,3.76,good,LYLU,Ericaceae,lyonia lucida,,perennial,,,alt. egg,
temple,medium,forb,4.133266667,47.75166667,Evan,Texas,Mimosa quadrivalvis sp.,0.48,2.42,3.63,look,MIPL,Fabaceae,mimosa roemeriana,,perennial,,,,
temple,medium,forb,2.328365417,40.14629583,average,average,average of the others site locations,0.86,4.29,4.98,need - average used,MOCI,Lamiaceae,monarda citriodora,,annual,annual/ perennial,,,
arch,high,grass,1.7,42.23,try,Indiana,Panicum virgatum,1.18,4.74,4.74,look,SCRH_hairy,Poaceae,panicum longifolium,C3-C4 Intermediate,perennial,,,,"not 100% sure on species, panicle not fully developed"
arch,high,grass,1.7,42.23,try,Indiana,Panicum virgatum,1.18,4.74,4.74,look,SCRH_hairy,Poaceae,panicum sp.,C3-C4 Intermediate,perennial,,,,"not 100% sure on species, panicle not fully developed"
temple,medium,forb,1.336,36.21,try,Kansas,,1.49,5.52,5.52,good,PAPE,Urticaceae,parietaria pensylvanica,,annual,,,,
arch,high,grass,3.594,42.775,try,Kansas,Paspalum pubiflorum,0.56,2.79,4.18,look,PANO,Poaceae,paspalum setaceum,,perennial,,axonopus furcatus,,vegetative state very similar to PANO. Might have mixed species in the field. Pointy leaves
temple,medium,forb,2.706,42.691,try,Kansas,"Physalis virginiana",0.74,3.96,4.68,look,PHMO,Solanaceae,physalis mollis,,perennial,,,,
arch,high,forb_carpet,1.5276,48.34375,average,average,average of forbs by arch,1.31,4.14,4.14,need - average used,SpiderPoint,Asteraceae,pityopsis graminifolia,,perennial,,,SpiderPoint / silky aster,
temple,medium,grass,3,46,UC Davis,General,UC davis example calculator general amount used,0.67,3.33,4.35,good,GRASS,Poaceae,poaceae sp.,na,na,,,,
sevi,very low,forb,2.8,44,sevi database,New Mexico,,0.71,3.57,4.55,good,POJA,Fabaceae,pomaria jamesii,,perennial,,,,
lubb,low,forb,3.178272727,46.61112121,evan,Texas,,0.63,3.14,4.29,good,PRGL2,Fabaceae,prosopis glandulosa,,perennial,,,,
temple,medium,forb,2.328365417,40.14629583,average,average,average of the others site locations,0.86,4.29,4.98,need - average used,PSTE,Fabaceae,psoralidium tenuifolium,,perennial,,,,
arch,high,forb_carpet,1.97,48.34375,try,South Carolina,"N provided by try, and carbon average of arch site.",1.02,4.14,4.14,need - average used,PTPY,Asteraceae,pterocaulon pycnostachyum,,perennial,,,,
arch,high,forb,0.89,48.34375,try,Florida,"Nitrogen provided by TRY, carbon provided by average",2.25,4.14,4.14,need - average used,QUMI,Fagaceae,quercus minima,,perennial,,,,
temple,medium,forb,1.506666667,46.78,evan,Texas,,1.32,4.28,4.28,good,RUTR,Rosaceae,rubus trivialis,,perennial,,,,
lubb,low,forb,1.345981,35.54198305,sevi database,New Mexico,salsola kali (updated species),1.48,5.63,5.63,good,HYOD,Amaranthaceae,salsola tragus,c4,annual,,,,
lubb,low,forb,1.345981,35.54198305,sevi database,New Mexico,salsola kali (updated species),1.48,5.63,5.63,good,SAKA,Amaranthaceae,salsola tragus,c4,annual,,,,
sevi,very low,forb,1.345981,35.54198305,sevi database,New Mexico,salsola kali (updated species),1.48,5.63,5.63,good,SATR,Amaranthaceae,salsola tragus,c4,annual,,,,
arch,high,grass,1.074,43.048,try,Kansas,"species, Schizachyrium scoparium",1.87,4.65,4.65,look,SCRH,Poaceae,schizachyrium rhizomatum,c4,perennial,,,,
temple,medium,grass,1.98,46.97366667,evan,Texas,,1.01,4.26,4.26,good,SCSC,Poaceae,schizachyrium scoparium,c4,perennial,,,,
lubb,low,forb,2.718269231,44.11704808,evan,Texas,,0.74,3.68,4.53,good,SOEL,Solanaceae,solanum elaeagnifolium,,perennial,,,,
sevi,very low,forb,2.313084314,46.18959534,sevi database,New Mexico,,0.87,4.33,4.33,good,SOEL,Solanaceae,solanum elaeagnifolium,,perennial,,,,
temple,medium,grass,1.123,39.399,try,Kansas,,1.79,5.08,5.08,good,SONU,Poaceae,sorghastrum nutans,c4,perennial,,,,
temple,medium,grass,1.520578947,43.00842105,evan,Texas,,1.32,4.65,4.65,good,SOHA,Poaceae,sorghum halapense,c4,perennial,,,,
temple,medium,grass,1.274,41.748,try,Kansas,,1.57,4.79,4.79,good,SPCO,Poaceae,sporobolus compositus,,perennial,,,,
sevi,very low,grass,1.485009902,44.81954299,sevi database,New Mexico,,1.34,4.46,4.46,good,SPFL,Poaceae,sporobolus flexuosus,c4,perennial,,,,
temple,medium,forb,2.012,37.659,try,Kansas,,1,4.98,5.31,good,TOAR,Apiaceae,torilis arvensis,,annual,,,,
temple,medium,forb,3.318,41.898,try,Kansas,"Tragia betonicifolia",0.6,3.01,4.52,look,TRBR,Euphorbiaceae,tragia brevispica,,perennial,,,,
sevi,very low,forb,2.107084792,47.15976331,sevi database,New Mexico,"Machaeranthera pinnatifida, species",0.95,4.24,4.24,good,XASP,Asteraceae,xanthisma spinulosum,,perennial,,,,"Updated Machaeranthera pinnatifida, MAPI"
